"rown","doc_topic","maxProb"
1,5,0.102035143882999
2,9,0.192764065324717
3,2,0.103113393465197
4,5,0.105336756949609
5,7,0.101742141107261
6,7,0.10345495396305
7,6,0.102182033472306
8,6,0.102374504169232
9,1,0.11068413800862
10,6,0.101133796055013
11,9,0.103913346533242
12,2,0.10240209563123
13,10,0.105706966703082
14,2,0.10202288518154
15,2,0.104780939274729
16,6,0.103089373289411
17,10,0.101492910230665
18,5,0.101030137981502
19,8,0.10190177406777
20,9,0.102684900616514
21,9,0.129411056277256
22,3,0.103191603025189
23,2,0.104097407488216
24,2,0.102554738251761
25,6,0.10179523169095
26,9,0.123749611752162
27,9,0.104093810293247
28,3,0.101026303250137
29,7,0.103282895818509
30,2,0.102231437448023
31,9,0.103028440318728
32,9,0.103341978178447
33,9,0.107251125950978
34,2,0.104866868325615
35,7,0.101696232697018
36,9,0.132634372840908
37,1,0.103477568928892
38,9,0.153437136937354
39,6,0.102439098471822
40,10,0.103949936234407
41,10,0.102564227843722
42,7,0.10365460342913
43,3,0.105982624254191
44,6,0.102254736052619
45,5,0.127944115249164
46,8,0.101218475413917
47,6,0.103818503949263
48,8,0.101097800960633
49,9,0.126723414643219
50,9,0.123444235751122
51,10,0.102475061666765
52,4,0.101324408823207
53,7,0.101511762301283
54,4,0.101829815293784
55,7,0.102853176604708
56,2,0.102271624491942
57,2,0.103632910485524
58,3,0.102906503152064
59,3,0.100865577082032
60,3,0.101463836530176
61,6,0.10187181069471
62,8,0.101211004665083
63,5,0.101601034236929
64,3,0.101770977829405
65,2,0.104492391138567
66,9,0.105967458664124
67,2,0.101141109841008
68,9,0.107055643457428
69,2,0.101488816961733
70,7,0.103230857390704
71,4,0.101232772388284
72,9,0.10290383382565
73,5,0.101827484892232
74,9,0.103272960002314
75,3,0.103443624017473
76,8,0.100767468213946
77,2,0.101700899188578
78,3,0.106190681644992
79,3,0.101905400684752
80,1,0.101536871198604
81,10,0.101378632424524
82,1,0.107911067796344
83,4,0.103312398849105
84,8,0.101547126569846
85,1,0.101351791578933
86,3,0.102557638053792
87,1,0.100738936025268
88,3,0.101445459877232
89,6,0.101883439095435
90,9,0.144089441938582
91,9,0.113034423767282
92,4,0.104456993504875
93,10,0.101413638587262
94,9,0.106956022171954
95,7,0.102102045141717
96,3,0.103221839782823
97,3,0.103363077895834
98,1,0.105699995490538
99,8,0.10125838071819
100,9,0.10176012319125
101,7,0.103786118325967
102,10,0.104908619407236
103,8,0.102618983742164
104,6,0.102284083666628
105,2,0.10286937509499
106,9,0.191403228467314
107,9,0.202065235816389
108,9,0.114241157620827
109,9,0.121946011270947
110,7,0.103358769055892
111,9,0.110145845328277
112,3,0.102484479262502
113,9,0.154348491698805
114,4,0.101569052396571
115,5,0.102767931980574
116,3,0.103706980048846
117,5,0.102057226647361
118,3,0.106611455823937
119,1,0.101321800473196
120,3,0.10370645494503
121,9,0.116529716720264
122,1,0.102405251842852
123,2,0.102894311964356
124,1,0.10154131591837
125,3,0.102932389503211
126,5,0.100935425469309
127,1,0.102698492447778
128,3,0.104532665405056
129,5,0.100702810135279
130,2,0.102914998717298
131,2,0.101776555813388
132,8,0.102818438613214
133,6,0.103459676232814
134,8,0.101567146973611
135,9,0.144715111155483
136,9,0.105504164422241
137,5,0.101537514846747
138,1,0.103849294842031
139,5,0.102970110296517
140,5,0.102589296310888
141,6,0.101294975833248
142,4,0.101270375334965
143,10,0.10137175646539
144,8,0.103767226778341
145,3,0.1015461727209
146,9,0.102625798120771
147,8,0.10173143490684
148,6,0.103190742561532
149,6,0.10233914629294
150,9,0.113926678926773
151,8,0.101657816901196
152,5,0.101703577867219
153,6,0.101558034877022
154,2,0.101526183732336
155,1,0.103573519373497
156,7,0.102570088748522
157,8,0.103392227535685
158,2,0.10387872444279
159,8,0.10231774593934
160,6,0.10121038272558
161,6,0.102391068326703
162,3,0.104601803132086
163,3,0.102816379264615
164,8,0.103376131491054
165,3,0.102278243919163
166,2,0.102677622165524
167,6,0.101759874721125
168,8,0.101789186154795
169,3,0.104317982259306
170,2,0.102399751990187
171,8,0.102176007901517
172,8,0.101561665468101
173,10,0.102607389318961
174,10,0.101427563283866
175,3,0.102263743486481
176,1,0.105684681221305
177,4,0.101682302549197
178,4,0.102496448483075
179,8,0.103587472651075
180,2,0.101262201528833
181,2,0.106063386525564
182,8,0.103278584291074
183,6,0.104571273145428
184,7,0.101993262509314
185,7,0.10084555584766
186,3,0.104500778446024
187,7,0.10125422628395
188,9,0.108195194348602
189,2,0.102612626196146
190,2,0.103688000873705
191,7,0.102783969412503
192,2,0.102645799047291
193,6,0.101747913755263
194,7,0.100813977129031
195,3,0.105992657374973
196,4,0.101862617229726
197,7,0.101477409995711
198,2,0.103161074028673
199,2,0.102317642745973
200,7,0.101656143153807
201,8,0.101377297797346
202,4,0.102456606063724
203,3,0.102431774168531
204,2,0.100895830963063
205,8,0.102015332537995
206,6,0.100872367420501
207,2,0.101340987042451
208,4,0.102588205383959
209,10,0.101421692781527
210,3,0.101108941759894
211,8,0.10682637135716
212,9,0.108550330033625
213,9,0.166699604954025
214,10,0.100914470780961
215,9,0.111863045106554
216,2,0.102639764327842
217,9,0.117573359563429
218,9,0.110114864105555
219,6,0.105899068298443
220,9,0.106609660572764
221,5,0.101030011802703
222,1,0.101855082925167
223,9,0.101487049457503
224,5,0.102950249112171
225,8,0.103336576214641
226,10,0.101206104388985
227,5,0.100750442488299
228,4,0.102034127336804
229,10,0.102774687389341
230,2,0.101784345788795
231,8,0.102787661547173
232,10,0.101094795098704
233,8,0.103238707217217
234,7,0.102175629385263
235,5,0.104056811359364
236,4,0.101731911950181
237,5,0.103767606756936
238,6,0.10473051792593
239,6,0.101724889841279
240,7,0.103386565260017
241,10,0.102547578137687
242,4,0.102747211009251
243,3,0.102337340021373
244,3,0.1012168194395
245,7,0.100756732578183
246,2,0.101429065159166
247,5,0.10307817356572
248,5,0.102709405814044
249,9,0.105646985749465
250,1,0.101244554987678
251,5,0.101729398006184
252,10,0.101460766047715
253,10,0.101545030787103
254,10,0.100743322871133
255,7,0.101024340037343
256,4,0.101123626539261
257,3,0.102132756345116
258,1,0.102573594942531
259,3,0.101993376236816
260,6,0.101744420808218
261,8,0.103272698818824
262,2,0.106113104492439
263,4,0.101152990571802
264,5,0.101257624423566
265,6,0.102056111348302
266,4,0.101398609147373
267,4,0.101412855215254
268,7,0.105813482366491
269,8,0.105094323699346
270,3,0.109777857307011
271,7,0.101172921199282
272,4,0.103902799099108
273,8,0.10145912603171
274,2,0.102617407424866
275,7,0.101139262284141
276,4,0.101664794651339
277,8,0.101692192902386
278,5,0.101388197636693
279,5,0.101388197636693
280,3,0.101324178836422
281,7,0.101997055948852
282,10,0.101580322027756
283,4,0.102062975898132
284,9,0.101538635841072
285,5,0.103646680622049
286,5,0.101343371202542
287,5,0.101059396827338
288,2,0.101879325183056
289,8,0.10183876156026
290,4,0.102421230569041
291,8,0.101674785588478
292,5,0.102387878133578
293,3,0.103588449566048
294,7,0.102742130884815
295,2,0.10251368086674
296,4,0.103415823742074
297,8,0.103135868055074
298,6,0.103059682077179
299,4,0.102228283085657
300,2,0.102776603241511
301,8,0.101124384002226
302,2,0.102133052043438
303,8,0.102363967071749
304,2,0.10177169388218
305,6,0.102669759203607
306,8,0.10156352382092
307,2,0.1012060739119
308,2,0.104158444594859
309,5,0.101439213880137
310,9,0.107425591524217
311,2,0.101597878471824
312,7,0.102991929515167
313,3,0.110761921825083
314,3,0.101110174133451
315,7,0.104674577706477
316,5,0.105478771623043
317,10,0.101504239883502
318,10,0.101731126370221
319,3,0.105081649766931
320,2,0.102407485136817
321,9,0.436509114680299
322,9,0.133834036418818
